PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Activity Summary,Ratio Activity,Ratio Potency (uM),Ratio Efficacy (%),530 nm Activity,530 nm Potency (uM),530 nm Efficacy (%),460 nm Activity,460 nm Potency (uM),460 nm Efficacy (%),Viability Activity,Viability Potency (uM),Viability Efficacy (%),Sample Source
6921,144213933,23670838,CCCCCCCCC1=CC=C(C=C1)S(=O)(=O)[O-].[Na+],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive,,,SIGMA
6922,144213934,35785,CCC(=O)C1CC(CC=C1C)C(C)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
6923,144213935,31227,CC(C)CCOCC1=CC=CC=C1,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,,,inactive,,0,TCI
6924,144213936,6436730,CN(CCN(C1=CC=CC=N1)CC2=CC=CS2)C.CN(CCN(C1=CC=CC=N1)CC2=CC=CS2)C.C(=C/C(=O)O)\C(=O)O.C(=C/C(=O)O)\C(=O)O.C(=C/C(=O)O)\C(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,MP Biomedicals
6925,144213937,70763,C1CCC(CC1)CCCO,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Enamine
6926,144213938,10958189,CC1=CC=C(C=C1)C(C)NC(=O)[C@H](C(C)C)NC(=O)OC(C)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
6927,144213939,3321360,CC1CCCC(=O)C1=O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
6928,144213940,641298,COC1=CC=CC=C1/C=C/C=O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
6929,144213941,78640,CC(=O)CC(C)(C)C1CCCCC1,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
6930,144213942,23679813,CC(C)C1=CC=C(C=C1)S(=O)(=O)[O-].[Na+],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Waterstone
6931,144213943,91410,CCCCCCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCC(C)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,ChemService
6932,144213944,8571,C1=CC(=C(C=C1O)O)C(=O)C2=C(C=C(C=C2)O)O,Inconclusive,5,,,inconclusive,inconclusive antagonist,43.6412,-29.8162,inactive,,0,inactive,,0,inconclusive agonist,,,SIGMA
6933,144213945,36242,CC12CC1(C(=O)N(C2=O)C3=CC(=CC(=C3)Cl)Cl)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Crescent
6934,144213946,73864,C1=CC(=CC=C1C(C2=CC=C(C=C2)O)(C(F)(F)F)C(F)(F)F)O,Inconclusive,5,,,inconclusive,inconclusive antagonist,48.9722,-113.964,inconclusive agonist,36.724,64.6576,inconclusive,,,inconclusive antagonist,48.9722,-86.8998,LightBiologicals
6935,144213947,5753,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@H]4C(=O)CO)C)O,Inconclusive,5,,,inconclusive,inconclusive antagonist,1.67218,-26.0339,inactive,,0,inactive,,0,inactive,,0,SIGMA
6936,144213948,68570,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@H]2O)CCC4=C3C=CC(=C4)O,Active,45,,,active antagonist,active antagonist,30.3121,-78.9713,inconclusive agonist,13.0302,30.2609,active antagonist,41.6821,-87.6168,inactive,,0,LightBiologicals
6937,144213951,76262,CCCCCCCC[Si](OCC)(OCC)OCC,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive antagonist,,,SIGMA
6938,144213960,13109,CC[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=CC(=O)CC[C@H]34,Inconclusive,5,,,inconclusive,inconclusive antagonist,,,inactive,,0,inconclusive,,,inactive,,0,SIGMA
6939,144213961,91649,CC(C)(C(=O)NC1=CC(=C(C=C1)[N+](=O)[O-])C(F)(F)F)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
6940,144213962,135492483,CC/C(=N\OCC)/C1=C(CC(CC1=O)C2=C(C=C(C=C2C)C)C)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
6941,144213963,23668198,CN(C)C1=CC=C(C=C1)N=NS(=O)(=O)[O-].[Na+],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
6942,144213964,7381,CC(C)(C)C1=CC(=C(C=C1)O)O,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,inconclusive antagonist,,-41.3306,inactive,,0,Enamine
6943,144213965,460,COC1=CC=CC=C1O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Enamine
6944,144213966,8765,C1=CC(=CC=C1N)SC2=CC=C(C=C2)N,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Enamine
6945,144213967,1923,C1=CC2=C(C(=C1)O)N=CC=C2,Inconclusive,25,,,inconclusive antagonist (cytotoxic),active antagonist,1.61982,-94.6194,active agonist,2.0832,77.3315,active antagonist,2.39699,-104.816,active antagonist,1.48536,-67.2744,Enamine
6946,144213968,6862,C1=CC=C2C(=C1)C=CC=C2CC(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Enamine
6947,144213969,6625,C1=CC(=CC=C1S(=O)(=O)C2=CC=C(C=C2)Cl)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
6948,144213970,8134,COCCOCCO,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
6949,144213971,7108,C1=CC=C2C(=C1)NC3=CC=CC=C3S2,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
6950,144213972,8814,CC(C)(C)CC(C)(C)C1=CC=C(C=C1)O,Inconclusive,25,,,inconclusive antagonist (cytotoxic),inconclusive antagonist,49.3846,-86.9377,inactive,,0,inconclusive antagonist,51.7939,-127.74,inconclusive antagonist,46.3836,-115.996,SIGMA
6951,144213973,7175,CCCOC(=O)C1=CC=C(C=C1)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
6952,144213974,8330,C1=C(C(=C(C(=C1Cl)Cl)[N+](=O)[O-])Cl)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
6953,144213975,7243,C1=CC=C(C(=C1)N)N,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
6954,144213976,15730,CCCCCCCCC1=CC=C(C=C1)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
6955,144213977,697993,C1=CC=C2C(=C1)NC(=S)S2,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
6956,144213978,6492,C1C=CC2C1C3CC2C=C3,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
6957,144213979,32793,CC(C)C(C)(C)C(C)(C)C(C)(C)S,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
6958,144213980,6051,C1=CC=C(C=C1)N=NC2=CC=C(C=C2)N,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
6959,144213981,700,C(CO)N,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,LightBiologicals
6960,144213982,10693,C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)N,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,LightBiologicals
6961,144213983,8593,C1=CC=C(C=C1)C2=NC3=CC=CC=C3C(=C2)C(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
6962,144213984,69779,C1=CC=C(C=C1)OC(=O)C2=CC(=CC=C2)C(=O)OC3=CC=CC=C3,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
6963,144213985,2265,CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
6964,144213986,11767,C1=CC=C2C(=C1)C=C3C=CC=CC3=C2[N+](=O)[O-],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
6965,144213987,4338370,C1=CC(=C(C=C1N)[N+](=O)[O-])N,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
6966,144213988,3417419,C1=CC(=C(C=C1N)[N+](=O)[O-])O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
6967,144213989,8095,CCOCCOC(=O)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,LightBiologicals
6968,144213990,969491,C1[C@@H]2[C@H]3[C@@H]([C@H]1[C@H]4[C@@H]2O4)[C@]5(C(=C([C@@]3(C5(Cl)Cl)Cl)Cl)Cl)Cl,Active,42,,,active antagonist,active antagonist,42.8774,-63.7361,inactive,,0,inconclusive antagonist,32.2248,-58.5918,inactive,,0,LightBiologicals
6969,144213991,7812,C1=CC(=CC=C1N)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,LightBiologicals
6970,144213992,7475,C1=CC(=CC=C1N)[N+](=O)[O-],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,LightBiologicals
6971,144213993,7452,C1=CC(=CC(=C1)[N+](=O)[O-])[N+](=O)[O-],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,LightBiologicals
6972,144213994,17818,CC1=C(C=C(C=C1)N)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,LightBiologicals
6973,144213995,11761,CC1=C(C(=CC=C1)[N+](=O)[O-])[N+](=O)[O-],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,LightBiologicals
6974,144213996,5447130,C1=C(OC(=C1)[N+](=O)[O-])/C=N/NC(=O)N,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
6975,144213997,4984721,C1=CC(=C(C=C1[N+](=O)[O-])O)N,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
6976,144213998,7263,C1=CC(=C(C=C1Cl)N)N,Inconclusive,5,,,inconclusive,inconclusive antagonist,37.9128,-69.6139,inconclusive agonist,39.396,73.7623,inactive,,0,inactive,,0,SIGMA
6977,144213999,8041,C=CC(=O)NCNC(=O)C=C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
6978,144214000,16329,C1=CC=C(C=C1)C2=CC=CC=C2Br,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
6979,144214001,16720,C1=CC2=C(C=CC=C2N)C(=C1)N,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
6980,144214002,7594,C1=CC=C(C=C1)NC(=NC2=CC=CC=C2)N,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
6981,144214003,12308,C(CO)CBr,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
6982,144214004,171660,C1=CC=C2C=C3C(=CC2=C1)C(=NC3=N)N,Inconclusive,25,,,inconclusive antagonist (cytotoxic),active antagonist,,-40.9601,inconclusive agonist,48.8603,62.788,active antagonist,,-66.4148,active antagonist,53.2668,-98.8668,SIGMA
6983,144214005,22704,C1=CC2=C(C=C1[N+](=O)[O-])SC(=N2)N,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
6984,144214006,213013,C1=CC=C(C(=C1)C2=CC=C(C=C2)Cl)NC(=O)C3=C(N=CC=C3)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,LightBiologicals
6985,144214007,8425,C1=CC=C(C=C1)CC2=C(C=CC(=C2)Cl)O,Inconclusive,25,,,inconclusive antagonist (cytotoxic),inconclusive antagonist,53.0113,-84.8743,inactive,,0,inconclusive antagonist,,-76.3128,inconclusive antagonist,47.3294,-97.0708,SIGMA
6986,144214008,6436449,CC1(CC/C(=C/C2=CC=C(C=C2)Cl)/C1(CN3C=NC=N3)O)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,LightBiologicals
6987,144214009,4004,CCOC(=O)CC(C(=O)OCC)SP(=S)(OC)OC,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,LightBiologicals
6988,144214010,13709,COC1=NN(C(=O)S1)CSP(=S)(OC)OC,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,LightBiologicals
6989,144214011,175967,CS(=O)(=O)C1=CC(=C(C=C1)C(=O)C2C(=O)CCCC2=O)[N+](=O)[O-],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,LightBiologicals
6990,144214012,23675274,C(C(C(F)(F)S(=O)(=O)[O-])(F)F)(C(F)(F)F)(F)F.[K+],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
6991,144214013,15008,CCCC(=O)C1=CC(=C(C=C1O)O)O,Inconclusive,25,,,inconclusive antagonist (cytotoxic),active antagonist,25.4566,-75.2669,active agonist,25.1355,69.1452,inconclusive antagonist,,-57.9318,inconclusive antagonist,16.3669,-46.4617,SIGMA
6992,144214014,11074,CN1C(=O)C2=CC=CC=C2C1=O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
6993,144214015,9223,C1=CC=C2C(=C1)C=CO2,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
6994,144214016,3712,C1=CC=C2C(=C1)C(=CN2)CO,Inconclusive,5,,,inconclusive,inconclusive antagonist,30.019,-40.641,inactive,,0,inactive,,0,inactive,,0,SIGMA
6995,144214017,11818,C1=CC=C2C(=C1)C=C(C=C2[N+](=O)[O-])[N+](=O)[O-],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
6996,144214018,2347,CCCCOC(=O)C1=CC=CC=C1C(=O)OCC2=CC=CC=C2,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,LightBiologicals
6997,144214019,6010,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CC[C@]4(C)O)C,Inconclusive,5,,,inconclusive,inconclusive antagonist,45.0502,-61.7325,inactive,,0,inactive,,0,inactive,,0,LightBiologicals
6998,144214020,10680,C1=CC=C(C=C1)C2=CC(=O)C3=CC=CC=C3O2,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
6999,144214021,10313,C1=CC=C(C=C1)C(=O)NO,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
7000,144214022,5959,C1=CC(=CC=C1[C@H]([C@@H](CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
7001,144214023,6318,C1=CC(=CC=C1C(=O)O)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
7002,144214024,31423,C1=CC2=C3C(=C1)C=CC4=CC=CC(=C43)C=C2,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,LightBiologicals
7003,144214025,29249,CCCCCCCCCC(CC)C1=CC=C(C=C1)S(=O)(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive antagonist,48.8461,-123.173,active antagonist,40.7442,-102.351,LightBiologicals
7004,144214026,5453,C1CN1P(=S)(N2CC2)N3CC3,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,LightBiologicals
7005,144214027,43704,CC(C)OC(=O)C1=CC(=CC(=C1)[N+](=O)[O-])C(=O)OC(C)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,LightBiologicals
7006,144214028,24812,Cl[In](Cl)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,LightBiologicals
7007,144214029,10800,CC1=CC(=CC(=C1O)[N+](=O)[O-])[N+](=O)[O-],Inconclusive,25,,,inconclusive antagonist (cytotoxic),active antagonist,14.2849,-50.9401,inactive,,0,inconclusive antagonist,22.3229,-61.7925,inconclusive antagonist,2.032,-44.2458,LightBiologicals
7008,144214030,4197,CC1=C(C=C(C(=O)N1)C#N)C2=CC=NC=C2,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,LightBiologicals
7009,144214031,20525,COC1=CC(=C(C=C1C=O)OC)OC,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
7010,144214032,2943,COC(=O)C1=C(C(=C(C(=C1Cl)Cl)C(=O)OC)Cl)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
7011,144214033,3117,CCN(CC)C(=S)SSC(=S)N(CC)CC,Inconclusive,25,,,inconclusive antagonist (cytotoxic),active antagonist,0.0672023,-98.6439,active agonist,0.0922365,100.566,active antagonist,0.0713347,-107.423,active antagonist,0.0676857,-70.067,SIGMA
7012,144214034,41428,C1=C(C(=NC(=C1Cl)Cl)OCC(=O)O)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
7013,144214035,11442,CC1=C(C(=O)CC1OC(=O)C2C(C2(C)C)C=C(C)C)CC=C,Inconclusive,25,,,inconclusive antagonist (cytotoxic),active antagonist,52.7832,-81.6613,inconclusive agonist,51.9284,65.9157,inconclusive antagonist,51.0813,-84.7429,active antagonist,51.9284,-123.898,LightBiologicals
7014,144214036,4115,COC1=CC=C(C=C1)C(C2=CC=C(C=C2)OC)C(Cl)(Cl)Cl,Inconclusive,5,,,inconclusive,active antagonist,22.5485,-55.4299,inactive,,0,inactive,,0,inactive,,0,LightBiologicals
7015,144214037,20393,CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,LightBiologicals
7016,144214038,41368,CC(C)(C)C(C(N1C=NC=N1)OC2=CC=C(C=C2)Cl)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
7017,144214039,29393,CCCN(CCC)C1=C(C=C(C=C1[N+](=O)[O-])S(=O)(=O)N)[N+](=O)[O-],Inconclusive,25,,,inconclusive antagonist (cytotoxic),inconclusive antagonist,44.8301,-73.6594,inactive,,0,inconclusive antagonist,47.2061,-88.9094,inconclusive antagonist,46.606,-99.3742,LightBiologicals
7018,144214040,5564,C1=CC(=C(C=C1Cl)O)OC2=C(C=C(C=C2)Cl)Cl,Inconclusive,25,,,inconclusive antagonist (cytotoxic),active antagonist,42.225,-105.848,inconclusive agonist,,66.4856,inconclusive antagonist,42.0933,-112.769,inconclusive antagonist,43.3273,-99.6283,SIGMA
7019,144214041,1489,C1=CC(=C(C=C1Cl)Cl)OCCCC(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
7020,144214042,31070,CCOP(=O)(NC(C)C)OC1=CC(=C(C=C1)SC)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,LightBiologicals
7021,144214043,3289,CCCSP(=O)(OCC)SCCC,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,LightBiologicals
7022,144214044,74483,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,active antagonist,36.8516,-87.6468,LightBiologicals
7023,144214045,8343,CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)OCC(CC)CCCC,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,LightBiologicals
7024,144214046,47898,CC(C)OC1=CC=CC(=C1)NC(=O)C2=CC=CC=C2C(F)(F)F,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,LightBiologicals
7025,144214047,5794,CCCCOCCOCCOCC1=CC2=C(C=C1CCC)OCO2,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,LightBiologicals
7026,144214048,3034285,CO/C=C(\C1=CC=CC=C1OC2=NC=NC(=C2)OC3=CC=CC=C3C#N)/C(=O)OC,Active,44,,,active antagonist,active antagonist,35.5101,-80.9532,inconclusive agonist,35.9276,67.9073,inconclusive antagonist,39.0896,-92.7832,inconclusive antagonist,,-54.8309,LightBiologicals
7027,144214049,6623,CC(C)(C1=CC=C(C=C1)O)C2=CC=C(C=C2)O,Inconclusive,5,,,inconclusive,inconclusive antagonist,39.6006,-44.7963,inactive,,0,inactive,,0,inactive,,0,SIGMA
7028,170464622,6279,C[C@H]1C[C@@H]2[C@H](CC[C@]3([C@H]2CC[C@@]3(C(=O)C)OC(=O)C)C)[C@@]4(C1=CC(=O)CC4)C,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,31.6155,-37.5664,inconclusive agonist,26.6011,26.4497,inconclusive antagonist,3.16155,-39.9837,inactive,,0,Vitas
7029,170464623,5459110,C[N+]1([C@@H]2CC(C[C@H]1[C@H]3[C@@H]2O3)OC(=O)[C@H](CO)C4=CC=CC=C4)C.[Br-],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
7030,170464624,22420,C1CNP(=O)(OC1)N(CCCl)CCCl.O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Vitas
7031,170464625,22475,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C.[Cl-].[Cl-],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Vitas
7032,170464626,3016,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Specs
7033,170464627,636362,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=CC=CC=C5C4=O)O)(C(=O)C)O)N)O.Cl,Active,57,,,active antagonist,active antagonist,7.49722,-104.621,active agonist,7.79053,35.1016,active antagonist,8.41202,-111.863,inactive,,0,Sequoia
7034,170464628,60198,C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CC(=C)C4=CC(=O)C=C[C@]34C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Tocris
7035,170464629,9878,C[C@H]1C[C@H]2[C@@H]3CC[C@@]([C@]3(C[C@@H]([C@@]2([C@@]4(C1=CC(=O)C=C4)C)F)O)C)(C(=O)C)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,"Prestwick Chemical, Inc."
7036,170464630,6215,C[C@]12C[C@@H]([C@]3([C@H]([C@@H]1C[C@@H]4[C@]2(OC(O4)(C)C)C(=O)CO)C[C@@H](C5=CC(=O)C=C[C@@]53C)F)F)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Prestwick
7037,170464631,6010,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CC[C@]4(C)O)C,Inconclusive,5,,,inconclusive,inconclusive antagonist,26.6011,-31.4013,inactive,,0,inactive,,0,inactive,,0,Sequoia
7038,170464632,5834,CC(=O)OCC(=O)[C@]1(CC[C@@H]2[C@@]1(C[C@@H]([C@H]3[C@H]2CCC4=CC(=O)C=C[C@]34C)O)C)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Bosche
7039,170464633,5578,COC1=CC(=CC(=C1OC)OC)CC2=CN=C(N=C2N)N,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Vitas
7040,170464634,1054,CC1=NC=C(C(=C1O)CO)CO,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Vitas
7041,170464635,5754,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,"Prestwick Chemical, Inc."
7042,170464636,5344,CC1=C(ON=C1C)NS(=O)(=O)C2=CC=C(C=C2)N,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
7043,170464637,5329,CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Labotest
7044,170464638,12598086,CC(=O)NC1=C(C(=C(C(=C1I)C(=O)O)I)NC(=O)C)I.O.O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Bosche
7045,170464639,50108,CCN(CC)C1=CC=C(C=C1)C(=C2C=CC(=[N+](CC)CC)C=C2)C3=C(C=CC(=C3)S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,GVK
7046,170464640,135398513,C1=NC2=C(N1COCCO)N=C(NC2=O)N,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
7047,170464641,5323714,C1COC(=O)N1/N=C/C2=CC=C(O2)[N+](=O)[O-],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Vitas
7048,170464642,5018304,C1=CC=C(C(=C1)CC(=O)[O-])NC2=C(C=CC=C2Cl)Cl.[Na+],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Vitas
7049,170464643,38852,C[C@](CC1=CC(=C(C=C1)O)O)(C(=O)O)N.C[C@](CC1=CC(=C(C=C1)O)O)(C(=O)O)N.O.O.O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
7050,170464644,44093,C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Vitas
7051,170464645,3562,C(C(F)(F)F)(Cl)Br,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
